18.216.100.248 - - [12/Mar/2024:10:06:39 +0100] "GET /.well-known/acme-challenge/Y9KWa_PRQrXVuJpKCOFqo4Mo3gfSwlP7KCLF5Hdi7UM HTTP/1.1" 200 310 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
176.53.217.240 - - [13/Mar/2024:18:43:20 +0100] "GET / HTTP/1.1" 200 3460 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36"
45.90.63.240 - - [13/Mar/2024:18:43:20 +0100] "GET /favicon.ico HTTP/1.1" 404 413 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36"
199.45.155.50 - - [13/Mar/2024:21:10:07 +0100] "GET / HTTP/1.1" 200 3404 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
199.45.155.50 - - [13/Mar/2024:21:10:09 +0100] "GET /favicon.ico HTTP/1.1" 404 376 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
87.236.176.206 - - [13/Mar/2024:21:13:51 +0100] "GET / HTTP/1.1" 200 3423 "-" "Mozilla/5.0 (compatible; InternetMeasurement/1.0; +https://internet-measurement.com/)"
199.45.155.33 - - [14/Mar/2024:06:43:57 +0100] "GET / HTTP/1.1" 200 3404 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
199.45.155.33 - - [14/Mar/2024:06:43:59 +0100] "GET /favicon.ico HTTP/1.1" 404 376 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
86.170.57.26 - - [14/Mar/2024:13:36:58 +0100] "GET / HTTP/1.1" 200 3460 "-" "BrightSign/8.3.23 (XT1144) Mozilla/5.0 (X11; Linux aarch64) AppleWebKit/537.36 (KHTML, like Gecko) QtWebEngine/5.12.3 Chrome/69.0.3497.128 Safari/537.36"
146.70.101.56 - - [14/Mar/2024:13:36:58 +0100] "GET / HTTP/1.1" 200 3423 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
138.199.47.223 - - [14/Mar/2024:13:36:58 +0100] "GET / HTTP/1.1" 200 3423 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Mobile/15E148 Safari/604.1"
86.170.57.26 - - [14/Mar/2024:13:36:59 +0100] "GET /icons/ubuntu-logo.png HTTP/1.1" 200 3607 "-" "BrightSign/8.3.23 (XT1144) Mozilla/5.0 (X11; Linux aarch64) AppleWebKit/537.36 (KHTML, like Gecko) QtWebEngine/5.12.3 Chrome/69.0.3497.128 Safari/537.36"
146.70.101.56 - - [14/Mar/2024:13:36:59 +0100] "GET /icons/ubuntu-logo.png HTTP/1.1" 200 3571 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
138.199.47.223 - - [14/Mar/2024:13:36:59 +0100] "GET /icons/ubuntu-logo.png HTTP/1.1" 200 3571 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Mobile/15E148 Safari/604.1"
191.96.168.211 - - [14/Mar/2024:13:37:25 +0100] "GET /favicon.ico HTTP/1.1" 404 376 "-" "Autoplius.lt/7.7.0 Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 EmbeddedBrowser DeviceUID:"
161.35.23.125 - - [14/Mar/2024:14:09:05 +0100] "GET / HTTP/1.1" 200 3404 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
45.135.95.6 - - [14/Mar/2024:17:48:50 +0100] "GET / HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
45.135.95.6 - - [14/Mar/2024:17:48:51 +0100] "GET / HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
45.135.95.6 - - [14/Mar/2024:17:49:09 +0100] "GET / HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
45.135.95.6 - - [14/Mar/2024:17:49:09 +0100] "GET / HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
45.135.95.6 - - [14/Mar/2024:17:49:10 +0100] "GET / HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
45.135.95.6 - - [14/Mar/2024:17:49:10 +0100] "GET / HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
45.135.95.6 - - [14/Mar/2024:17:49:21 +0100] "GET / HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
45.135.95.6 - - [14/Mar/2024:17:49:23 +0100] "GET / HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
45.135.95.6 - - [15/Mar/2024:19:54:32 +0100] "GET / HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
45.135.95.6 - - [15/Mar/2024:19:54:32 +0100] "GET / HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
45.135.95.6 - - [15/Mar/2024:19:54:43 +0100] "GET / HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
45.135.95.6 - - [15/Mar/2024:19:54:43 +0100] "GET / HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
45.135.95.6 - - [15/Mar/2024:19:54:44 +0100] "GET / HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
45.135.95.6 - - [15/Mar/2024:19:54:44 +0100] "GET / HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
45.135.95.6 - - [15/Mar/2024:19:54:44 +0100] "GET / HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
45.135.95.6 - - [15/Mar/2024:19:54:44 +0100] "GET / HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
45.135.95.6 - - [15/Mar/2024:19:54:55 +0100] "GET / HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
45.135.95.6 - - [15/Mar/2024:19:54:56 +0100] "GET / HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
45.135.95.6 - - [15/Mar/2024:19:55:05 +0100] "GET / HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
45.135.95.6 - - [15/Mar/2024:19:55:06 +0100] "GET / HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
165.232.71.228 - - [16/Mar/2024:14:07:49 +0100] "GET / HTTP/1.1" 200 3404 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
199.45.155.32 - - [17/Mar/2024:14:20:20 +0100] "GET / HTTP/1.1" 200 3404 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
199.45.155.32 - - [17/Mar/2024:14:20:22 +0100] "GET /favicon.ico HTTP/1.1" 404 376 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
199.45.154.17 - - [18/Mar/2024:11:39:05 +0100] "GET / HTTP/1.1" 200 3404 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
199.45.154.17 - - [18/Mar/2024:11:39:07 +0100] "GET /favicon.ico HTTP/1.1" 404 376 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
87.104.245.51 - - [18/Mar/2024:21:35:26 +0100] "GET / HTTP/1.1" 200 10945 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:35:26 +0100] "GET /node0/ HTTP/1.1" 503 489 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:35:26 +0100] "GET /node1/ HTTP/1.1" 503 489 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:35:26 +0100] "GET /node2/ HTTP/1.1" 503 489 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:35:26 +0100] "GET /node3/ HTTP/1.1" 503 489 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:35:27 +0100] "GET /node4/ HTTP/1.1" 503 489 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:35:27 +0100] "GET /node5/ HTTP/1.1" 503 489 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:35:27 +0100] "GET /node6/ HTTP/1.1" 503 489 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:35:27 +0100] "GET /node7/ HTTP/1.1" 503 489 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:35:27 +0100] "GET /node8/ HTTP/1.1" 503 489 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:35:27 +0100] "GET /node9/ HTTP/1.1" 503 489 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:35:27 +0100] "GET /ws0/ HTTP/1.1" 403 379 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:35:27 +0100] "GET /ws1/ HTTP/1.1" 403 379 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:35:28 +0100] "GET /ws2/ HTTP/1.1" 403 379 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:35:28 +0100] "GET /ws3/ HTTP/1.1" 403 379 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:35:28 +0100] "GET /ws4/ HTTP/1.1" 403 379 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:35:28 +0100] "GET /ws5/ HTTP/1.1" 403 379 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:35:28 +0100] "GET /ws6/ HTTP/1.1" 403 379 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:35:28 +0100] "GET /ws7/ HTTP/1.1" 403 379 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:35:28 +0100] "GET /ws8/ HTTP/1.1" 403 379 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:35:28 +0100] "GET /ws9/ HTTP/1.1" 403 379 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:48:16 +0100] "GET / HTTP/1.1" 200 10945 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:48:16 +0100] "GET /node0/ HTTP/1.1" 503 489 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:48:16 +0100] "GET /node1/ HTTP/1.1" 503 489 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:48:16 +0100] "GET /node2/ HTTP/1.1" 503 489 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:48:16 +0100] "GET /node3/ HTTP/1.1" 503 489 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:48:16 +0100] "GET /node4/ HTTP/1.1" 503 489 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:48:16 +0100] "GET /node5/ HTTP/1.1" 503 489 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:48:16 +0100] "GET /node6/ HTTP/1.1" 503 489 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:48:17 +0100] "GET /node7/ HTTP/1.1" 503 489 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:48:17 +0100] "GET /node8/ HTTP/1.1" 503 489 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:48:17 +0100] "GET /node9/ HTTP/1.1" 503 489 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:48:17 +0100] "GET /ws0/ HTTP/1.1" 403 379 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:48:17 +0100] "GET /ws1/ HTTP/1.1" 403 379 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:48:17 +0100] "GET /ws2/ HTTP/1.1" 403 379 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
87.104.245.51 - - [18/Mar/2024:21:48:17 +0100] "GET /ws3/ HTTP/1.1" 403 379 "-" "Mozilla/5.0 (iPhone14,6; U; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19E241 Safari/602.1"
